course_title,instructor,duration_minutes,views,likes,comments,views_per_day,engagement_rate,platform,course_url,success_label
Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,CodeWithHarry,653.9166667,16563346,336441,44737,29007.61121,0.023013345,YouTube,https://www.youtube.com/watch?v=UrsmFxEIp5k,1
Python Full Course for Beginners,Programming with Mosh,122.35,4919052,119229,3211,14906.21818,0.024890975,YouTube,https://www.youtube.com/watch?v=K5KVEU3aaeQ,1
Python Full Course for Beginners,Programming with Mosh,374.1166667,46665195,1229529,61480,18547.3748,0.027665351,YouTube,https://www.youtube.com/watch?v=_uQrJ0TkZlc,1
Learn Python - Full Course for Beginners [Tutorial],freeCodeCamp.org,266.8666667,48224304,1110685,46034,17612.96713,0.023986225,YouTube,https://www.youtube.com/watch?v=rfscVS0vtbw,1
Python Full Course for free 🐍,Bro Code,720,7987511,255116,15274,15785.59486,0.033851597,YouTube,https://www.youtube.com/watch?v=ix9cRaBkVe0,1
Python Full Course for Beginners | Complete All-in-One Tutorial | 9 Hours,Dave Gray,518.9333333,1008626,21423,642,1123.191537,0.021876295,YouTube,https://www.youtube.com/watch?v=H2EJuAcrZYU,1
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],TechWorld with Nana,331.5,6619457,167788,4018,3739.806215,0.025954697,YouTube,https://www.youtube.com/watch?v=t8pPdKYpowI,1
Python for Beginners – Full Course [Programming Tutorial],freeCodeCamp.org,280,4083915,77001,1696,3272.367788,0.01926999,YouTube,https://www.youtube.com/watch?v=eWRfhZUzrAc,1
Harvard CS50’s Introduction to Programming with Python – Full University Course,freeCodeCamp.org,957.8,7666694,208293,4189,7799.28179,0.027714945,YouTube,https://www.youtube.com/watch?v=nLRL_NcnK-4,1
Python Full Course for free 🐍,Bro Code,720,21562293,989710,27874,12059.44799,0.047192754,YouTube,https://www.youtube.com/watch?v=XKHEtdqhLK8,1
